Act.NeSiteId,Actual Ne SiteName,SourceNode,Latitude,Longitude
APN002,DMT Sabulira Toba,GPON01-D7-APN-3,-0.89899,121.60649
APN003,DMT_Tayawa,L2SW-D7-PSO027,-1.44455,121.09383
BGI001,TBG_Kendek,GPON01-D7-BGI-4,-1.56316,123.55257
BGI002,TBG-Banggai_Laut,GPON01-D7-BGI-4,-1.584783,123.500363
BOA001,Tilamuta,GPON02-D7-MRA-3,0.525833333,122.3311111
BOA002,SIPATANA,GPON02-D7-ISM-3WGH,0.611444444,122.4936944
BOA003,Lamu,GPON02-D7-MRA-3TLM,0.514388889,122.3090833
BOA004,Wonosari,GPON04-D7-ISM-4WNS | GPON02-D7-ISM-3WGH,0.705638889,122.4840278
BOA005,BILATU,GPON08-D7-ISM-4BLT,0.517916667,122.6557778
BOA006,DULUPI,GPON07-D7-ISM-4DLP,0.52799,122.43834
BOA007,Mananggu,GPON01-D7-MRA-3,0.503388889,122.1464167
BOA008,Tapadaa,GPON10-D7-MRS-4TAP,0.474722,122.20166
BOA010,Repeater Bilatu 1,GPON08-D7-ISM-4BLT,0.518742,122.652087
BOA011,Repeater Bilatu 2,L2SW-D7-BOA011,0.48622,122.88833
BOA012,Satria 1,GPON00-D7-ISM-3,0.598138889,122.7964444
BOA014,SKP Tilamuta City=BOA104,GPON02-D7-MRA-3,0.526805556,122.3479167
BOA015,SKP_LAKEYA, GPON04-D7-ISM-4WNS,0.70545,122.512393
BOA017,SKP Lamu,GPON02-D7-MRA-3TLM,0.5215,122.3201389
BOA020,DMT Hulawa Boalemo,GPON02-D7-ISM-3WGH,0.62428,122.527327
BOA022,DMT BUNTULIA,GPON06-D7-MRA-4,0.51659,121.9494
BOA023,Protelindo Liputo,GPON09-D7-MRS-4TLMT,0.5565,122.3763
BOA024,PROTELINDO Dengilo 2,GPON04-D7-MRA-4PAG,0.5285,122.0908
BOA026,TBG Luluo,L2SW-D7-TSEL-BOA026,0.49085,122.816
BOA027,TBG Desa Pentado Barat,GPON09-D7-MRS-4TLMT,0.50515,122.34734
BOA030,TBG HARAPAN WONOSARI,GPON04-D7-ISM-4WNS,0.688691,122.483983
BOA041,TGM PENTADU BARAT,GPON09-D7-MRA-4TLMT,0.5248517,122.33987
BOA042,Sutan Hurudji,GPON02-D7-MRA-3,0.51722,122.34513
BOA043,TGM PETANDU RESIDENT,GPON07-D7-MRA-4LMU,0.539135,122.346016
BOA053,DMT MM Hunganoyaa,GPON02-D7-MRA-3,0.52924,122.34431
